no,name,category
446,(재)보성군장학재단,공직유관단체
447,(재)봉화축제관광재단,공직유관단체
448,(재)부산경제진흥원,공직유관단체
449,(재)부산과학기술고등교육진흥원,공직유관단체
450,(재)부산디자인진흥원,공직유관단체
451,(재)부산문화재단,공직유관단체
452,(재)부산연구원,공직유관단체
453,(재)부산정보산업진흥원,공직유관단체
454,(재)부산창조경제혁신센터,공직유관단체
455,(재)부산테크노파크,공직유관단체
456,(재)부천문화재단,공직유관단체
457,(재)부천산업진흥원,공직유관단체
458,(재)부천시여성청소년재단,공직유관단체
459,(재)사천문화재단,공직유관단체
460,(재)사천시미생물발효재단,공직유관단체
461,(재)사천시복지‧청소년재단,공직유관단체
462,(재)새마을재단,공직유관단체
463,(재)서울경제진흥원,공직유관단체
464,(재)서울시립교향악단,공직유관단체
465,(재)서울테크노파크,공직유관단체
466,(재)서울특별시평생교육진흥원,공직유관단체
467,(재)서초장학재단,공직유관단체
468,(재)성남산업진흥원,공직유관단체
469,(재)수원시국제교류센터,공직유관단체
470,(재)스크립스코리아항체연구원,공직유관단체
471,(재)아산문화재단,공직유관단체
472,(재)아산시청소년재단,공직유관단체
473,(재)안산문화재단,공직유관단체
474,(재)안산시청소년재단,공직유관단체
475,(재)안산환경재단,공직유관단체
476,(재)안양문화예술재단,공직유관단체
477,(재)안양시민프로축구단,공직유관단체
478,(재)양구문화재단,공직유관단체
479,(재)양산시복지재단,공직유관단체
480,(재)연구개발특구진흥재단,공직유관단체
481,(재)영양축제관광재단,공직유관단체
482,(재)영월산업진흥원,공직유관단체
483,(재)영주문화관광재단,공직유관단체
484,(재)영화의전당,공직유관단체
485,(재)오산문화재단,공직유관단체
486,(재)용인시산업진흥원,공직유관단체
487,(재)용인시시민프로축구단,공직유관단체
488,(재)용인시자원봉사센터,공직유관단체
489,(재)용인시정연구원,공직유관단체
490,(재)울산창조경제혁신센터,공직유관단체
491,(재)울진군장학재단,공직유관단체
492,(재)원주문화재단,공직유관단체
493,(재)원주의료기기산업진흥원,공직유관단체
494,(재)이천시청소년재단,공직유관단체
495,(재)인천광역시계양구인재양성장학교육재단,공직유관단체
496,(재)인천광역시부평구문화재단,공직유관단체
497,(재)인천광역시서구문화재단,공직유관단체
